DataSet,k,k_inicial_melhor,k_candidates,k_scores_medios_clonalg,n_antibodies,rho,beta,replace_rate,selection_rate,parametric_mutation_scale,diversity_weight,affinity_metric,runs,iterations,ClonalG_Media_Validacao,ClonalG_Melhor_Validacao,ClonalG_Pior_Validacao,ClonalG_DB_Medio_Validacao,ClonalG_DB_Melhor_Validacao,ClonalG_DB_Pior_Validacao,KMeans_Silhouette_mesmo_k,Delta_Validacao_vs_KMeans_mesmo_k,KMeans_DB_mesmo_k,Delta_DB_vs_KMeans_mesmo_k
1,3,2,"2,3,4,5,6",2->3:0.6480;3->3:0.6480;4->3:0.6480;5->3:0.6480;6->3:0.6480,15,2.0,15.0,0.1,0.85,0.05,0.15,davies_bouldin,3,50,0.6479626689290785,0.6479626689290785,0.6479626689290785,0.4837408068820226,0.48374080688202253,0.4837408068820226,0.6479626689290785,0.0,0.4837408068820226,0.0
2,2,2,"2,3,4,5,6",2->2:0.5408;3->5:0.3770;4->2:0.2697;5->5:0.3509;6->5:0.3490,15,2.0,15.0,0.1,0.85,0.05,0.15,davies_bouldin,3,50,0.5407542962379894,0.6158135544625102,0.3906357797889481,0.5798240889956788,0.5454059362467791,0.6486603944934781,0.35891206310876406,0.18184223312922537,1.1561844143771076,-0.5763603253814288
3,2,2,"2,3,4,5,6",2->2:0.1442;3->6:0.1639;4->6:0.1331;5->6:0.1767;6->6:0.1683,15,2.0,15.0,0.1,0.85,0.05,0.15,davies_bouldin,3,50,0.1441992134550353,0.19401052084811649,0.09410253053661512,1.18816915336686,0.9843516473571446,1.3041521078158649,0.19645444674770568,-0.05225523329267037,1.9047849956619953,-0.7166158422951354
4,2,4,"2,3,4,5,6",2->4:0.5297;3->4:0.5508;4->2:0.4936;5->4:0.5724;6->4:0.5805,15,2.0,15.0,0.1,0.85,0.05,0.15,davies_bouldin,3,50,0.4936228681796648,0.586802438216917,0.3087621039567099,0.5273996544985442,0.5262477101415152,0.5280870313123217,0.5145511657693747,-0.020928297589709877,0.5890783097945906,-0.061678655296046436
5,2,2,"2,3,4,5,6",2->2:0.6644;3->2:0.6644;4->2:0.6644;5->2:0.6644;6->2:0.6644,15,2.0,15.0,0.1,0.85,0.05,0.15,davies_bouldin,3,50,0.6643575754503649,0.6643575754503649,0.6643575754503649,0.50463229818083,0.50463229818083,0.50463229818083,0.6643575754503649,0.0,0.50463229818083,0.0
