DataSet,k,k_inicial_melhor,k_candidates,k_scores_medios_clonalg,n_antibodies,rho,beta,replace_rate,selection_rate,parametric_mutation_scale,diversity_weight,affinity_metric,runs,iterations,ClonalG_Media_Validacao,ClonalG_Melhor_Validacao,ClonalG_Pior_Validacao,ClonalG_DB_Medio_Validacao,ClonalG_DB_Melhor_Validacao,ClonalG_DB_Pior_Validacao,KMeans_Silhouette_mesmo_k,Delta_Validacao_vs_KMeans_mesmo_k,KMeans_DB_mesmo_k,Delta_DB_vs_KMeans_mesmo_k
1,3,2,"2,3,4,5,6",2->3:0.6480;3->3:0.6480;4->3:0.6480;5->3:0.6480;6->3:0.6480,80,1.2,25.0,0.55,0.4,0.12,0.25,silhouette,3,150,0.6479626689290785,0.6479626689290785,0.6479626689290785,0.4837408068820226,0.48374080688202253,0.4837408068820226,0.6479626689290785,0.0,0.4837408068820226,0.0
2,2,3,"2,3,4,5,6",2->2:0.6461;3->2:0.6572;4->2:0.6461;5->2:0.6485;6->2:0.6539,80,1.2,25.0,0.55,0.4,0.12,0.25,silhouette,3,150,0.6571735090319485,0.6637250209940102,0.6538977530509176,0.386999640406175,0.3732829056070433,0.3938580078057408,0.35891206310876406,0.29826144592318443,1.1561844143771076,-0.7691847739709325
4,4,2,"2,3,4,5,6",2->4:0.5905;3->4:0.5905;4->4:0.5905;5->4:0.5905;6->4:0.5905,80,1.2,25.0,0.55,0.4,0.12,0.25,silhouette,3,150,0.590540010127168,0.590540010127168,0.590540010127168,0.5334684712685122,0.5334684712685122,0.5334684712685122,0.5865799782279477,0.003960031899220229,0.547304444149139,-0.013835972880626879
5,2,2,"2,3,4,5,6",2->2:0.6644;3->2:0.6644;4->2:0.6644;5->2:0.6644;6->2:0.6644,80,1.2,25.0,0.55,0.4,0.12,0.25,silhouette,3,150,0.6643575754503649,0.6643575754503649,0.6643575754503649,0.50463229818083,0.50463229818083,0.50463229818083,0.6643575754503649,0.0,0.50463229818083,0.0
