DataSet,k,k_inicial_melhor,k_candidates,k_scores_medios_clonalg,n_antibodies,rho,beta,replace_rate,selection_rate,parametric_mutation_scale,diversity_weight,affinity_metric,runs,iterations,ClonalG_Media_Validacao,ClonalG_Melhor_Validacao,ClonalG_Pior_Validacao,ClonalG_DB_Medio_Validacao,ClonalG_DB_Melhor_Validacao,ClonalG_DB_Pior_Validacao,KMeans_Silhouette_mesmo_k,Delta_Validacao_vs_KMeans_mesmo_k,KMeans_DB_mesmo_k,Delta_DB_vs_KMeans_mesmo_k
1,3,2,"2,3,4,5,6",2->3:0.6480;3->3:0.6480;4->3:0.6480;5->3:0.6480;6->3:0.6480,15,2.0,5.0,0.3,0.5,0.05,0.15,davies_bouldin,3,50,0.6479626689290785,0.6479626689290785,0.6479626689290785,0.4837408068820226,0.48374080688202253,0.4837408068820226,0.6479626689290785,0.0,0.4837408068820226,0.0
2,2,5,"2,3,4,5,6",2->2:0.4624;3->5:0.3605;4->2:0.4324;5->2:0.5175;6->5:0.3798,15,2.0,5.0,0.3,0.5,0.05,0.15,davies_bouldin,3,50,0.5174612864306914,0.6443188990168992,0.2922514058126649,0.5897753959675974,0.45735907243881535,0.7665611792171976,0.35891206310876406,0.1585492233219274,1.1561844143771076,-0.5664090184095102
3,6,4,"2,3,4,5,6",2->6:0.1503;3->6:0.1435;4->6:0.1705;5->6:0.1642;6->6:0.1517,15,2.0,5.0,0.3,0.5,0.05,0.15,davies_bouldin,3,50,0.17049540700506874,0.18207408757588786,0.16022960906300798,1.2938582029860468,1.259784768511168,1.347087667189687,0.22206807318953195,-0.05157266618446321,1.25823215903327,0.03562604395277691
4,4,5,"2,3,4,5,6",2->4:0.5488;3->4:0.5627;4->4:0.5545;5->4:0.5867;6->4:0.5829,15,2.0,5.0,0.3,0.5,0.05,0.15,davies_bouldin,3,50,0.5866813983348697,0.5894360702738743,0.5853040623653674,0.5309250550593488,0.5278642220417957,0.537046721094455,0.5865799782279477,0.00010142010692193448,0.547304444149139,-0.016379389089790197
5,2,2,"2,3,4,5,6",2->2:0.6644;3->2:0.6644;4->2:0.6644;5->2:0.6644;6->2:0.6644,15,2.0,5.0,0.3,0.5,0.05,0.15,davies_bouldin,3,50,0.6643575754503649,0.6643575754503649,0.6643575754503649,0.50463229818083,0.50463229818083,0.50463229818083,0.6643575754503649,0.0,0.50463229818083,0.0
