DataSet,k,k_inicial_melhor,k_candidates,k_scores_medios_clonalg,n_antibodies,rho,beta,replace_rate,selection_rate,parametric_mutation_scale,diversity_weight,affinity_metric,runs,iterations,ClonalG_Media_Validacao,ClonalG_Melhor_Validacao,ClonalG_Pior_Validacao,ClonalG_DB_Medio_Validacao,ClonalG_DB_Melhor_Validacao,ClonalG_DB_Pior_Validacao,KMeans_Silhouette_mesmo_k,Delta_Validacao_vs_KMeans_mesmo_k,KMeans_DB_mesmo_k,Delta_DB_vs_KMeans_mesmo_k
1,3,2,"2,3,4,5,6",2->3:0.6480;3->3:0.6480;4->3:0.6480;5->3:0.6480;6->3:0.6480,60,3.5,30.0,0.4,0.6,0.05,0.15,davies_bouldin,3,50,0.6479626689290785,0.6479626689290785,0.6479626689290785,0.48374080688202253,0.48374080688202253,0.48374080688202253,0.6479626689290785,0.0,0.4837408068820226,-5.551115123125783e-17
2,2,2,"2,3,4,5,6",2->2:0.6444;3->2:0.6429;4->2:0.5648;5->2:0.5545;6->2:0.6348,60,3.5,30.0,0.4,0.6,0.05,0.15,davies_bouldin,3,50,0.6443579361773162,0.6538977530509176,0.6305303233075273,0.4060896106896587,0.31923867327912137,0.5051721509841139,0.35891206310876406,0.2854458730685521,1.1561844143771076,-0.7500948036874489
3,2,2,"2,3,4,5,6",2->2:0.1499;3->6:0.1761;4->6:0.1770;5->6:0.1689;6->6:0.1519,60,3.5,30.0,0.4,0.6,0.05,0.15,davies_bouldin,3,50,0.1499001553768434,0.17746431781487707,0.12446519009707137,1.0589542835893666,0.7972686971848922,1.306302895666786,0.19645444674770568,-0.04655429137086228,1.9047849956619953,-0.8458307120726287
4,2,3,"2,3,4,5,6",2->4:0.5804;3->2:0.3991;4->4:0.5783;5->4:0.5869;6->4:0.5788,60,3.5,30.0,0.4,0.6,0.05,0.15,davies_bouldin,3,50,0.39909193942477933,0.586802438216917,0.3017112761007109,0.5128657360686413,0.4842624667520871,0.5280870313123217,0.5145511657693747,-0.11545922634459532,0.5890783097945906,-0.07621257372594936
5,2,2,"2,3,4,5,6",2->2:0.6644;3->2:0.6644;4->2:0.6644;5->2:0.6644;6->2:0.6644,60,3.5,30.0,0.4,0.6,0.05,0.15,davies_bouldin,3,50,0.6643575754503649,0.6643575754503649,0.6643575754503649,0.50463229818083,0.50463229818083,0.50463229818083,0.6643575754503649,0.0,0.50463229818083,0.0
