DataSet,k,k_inicial_melhor,k_candidates,k_scores_medios_clonalg,n_antibodies,rho,beta,replace_rate,selection_rate,runs,iterations,ClonalG_Media_Validacao,ClonalG_Melhor_Validacao,ClonalG_Pior_Validacao,KMeans_Silhouette_mesmo_k,Delta_Validacao_vs_KMeans_mesmo_k
1,3,2,"2,3,4,5,6",2->3:0.6480;3->3:0.6480;4->3:0.6480;5->3:0.6430;6->3:0.6401,15,2.0,15.0,0.1,0.85,3,50,0.6479626689290785,0.6479626689290785,0.6479626689290785,0.6479626689290785,0.0
2,2,4,"2,3,4,5,6",2->2:0.4314;3->5:0.3939;4->2:0.5417;5->2:0.4593;6->5:0.3871,15,2.0,15.0,0.1,0.85,3,50,0.54165134573407,0.6158135544625102,0.3933269282771896,0.35891206310876406,0.18273928262530598
3,6,4,"2,3,4,5,6",2->2:0.1852;3->4:0.1937;4->6:0.1969;5->4:0.1916;6->4:0.1912,15,2.0,15.0,0.1,0.85,3,50,0.19686894319325873,0.20407787136170916,0.18815307806701034,0.22206807318953195,-0.025199129996273217
4,4,4,"2,3,4,5,6",2->4:0.5826;3->4:0.5696;4->4:0.5847;5->4:0.5845;6->4:0.5815,15,2.0,15.0,0.1,0.85,3,50,0.5847404068510103,0.5898349141504893,0.5769282165375607,0.5865799782279477,-0.0018395713769374655
5,2,2,"2,3,4,5,6",2->2:0.6644;3->2:0.6644;4->2:0.6644;5->2:0.6644;6->2:0.6644,15,2.0,15.0,0.1,0.85,3,50,0.6643575754503649,0.6643575754503649,0.6643575754503649,0.6643575754503649,0.0
