DataSet,k,k_inicial_melhor,k_candidates,k_scores_medios_clonalg,n_antibodies,rho,beta,replace_rate,selection_rate,runs,iterations,ClonalG_Media_Validacao,ClonalG_Melhor_Validacao,ClonalG_Pior_Validacao,KMeans_Silhouette_mesmo_k,Delta_Validacao_vs_KMeans_mesmo_k
1,3,2,"2,3,4,5,6",2->3:0.6480;3->3:0.6480;4->3:0.6480;5->3:0.6480;6->3:0.6480,30,2.0,15.0,0.3,0.3,3,50,0.6479626689290785,0.6479626689290785,0.6479626689290785,0.6479626689290785,0.0
2,2,5,"2,3,4,5,6",2->2:0.4947;3->2:0.5491;4->2:0.5388;5->2:0.6318;6->2:0.4818,30,2.0,15.0,0.3,0.3,3,50,0.6317840433063435,0.6637250209940102,0.6158135544625102,0.35891206310876406,0.27287198019757947
3,5,3,"2,3,4,5,6",2->6:0.1927;3->5:0.1992;4->4:0.1936;5->5:0.1952;6->2:0.1934,30,2.0,15.0,0.3,0.3,3,50,0.19915277243904073,0.20480777441090225,0.19135694329410413,0.22201950837163575,-0.022866735932595028
4,4,6,"2,3,4,5,6",2->4:0.5826;3->4:0.5874;4->4:0.5853;5->4:0.5863;6->4:0.5877,30,2.0,15.0,0.3,0.3,3,50,0.5876720224064426,0.5894360702738743,0.5867775587285363,0.5865799782279477,0.0010920441784948443
5,2,2,"2,3,4,5,6",2->2:0.6644;3->2:0.6644;4->2:0.6644;5->2:0.6644;6->2:0.6644,30,2.0,15.0,0.3,0.3,3,50,0.6643575754503649,0.6643575754503649,0.6643575754503649,0.6643575754503649,0.0
