DataSet,k,k_inicial_melhor,k_candidates,k_scores_medios_clonalg,n_antibodies,rho,beta,replace_rate,selection_rate,parametric_mutation_scale,diversity_weight,runs,iterations,ClonalG_Media_Validacao,ClonalG_Melhor_Validacao,ClonalG_Pior_Validacao,KMeans_Silhouette_mesmo_k,Delta_Validacao_vs_KMeans_mesmo_k
1,3,2,"2,3,4,5,6",2->3:0.6480;3->3:0.6480;4->3:0.6480;5->3:0.6480;6->3:0.6480,15,2.0,15.0,0.1,0.85,0.05,0.15,3,50,0.6479626689290785,0.6479626689290785,0.6479626689290785,0.6479626689290785,0.0
2,2,2,"2,3,4,5,6",2->2:0.5908;3->4:0.3979;4->4:0.3892;5->4:0.3951;6->4:0.3851,15,2.0,15.0,0.1,0.85,0.05,0.15,3,50,0.5907975772265776,0.6158135544625102,0.5782895886086112,0.35891206310876406,0.2318855141178135
3,5,5,"2,3,4,5,6",2->3:0.1917;3->6:0.2030;4->6:0.1997;5->5:0.2044;6->5:0.1959,15,2.0,15.0,0.1,0.85,0.05,0.15,3,50,0.2044176991141682,0.20615448132201086,0.20312001729524767,0.22201950837163575,-0.017601809257467543
4,4,3,"2,3,4,5,6",2->4:0.5812;3->4:0.5869;4->4:0.5864;5->4:0.5806;6->4:0.5746,15,2.0,15.0,0.1,0.85,0.05,0.15,3,50,0.5868671230295693,0.5886997175343402,0.5832019340200274,0.5865799782279477,0.00028714480162161937
5,2,2,"2,3,4,5,6",2->2:0.6644;3->2:0.6644;4->2:0.6644;5->2:0.6644;6->2:0.6644,15,2.0,15.0,0.1,0.85,0.05,0.15,3,50,0.6643575754503649,0.6643575754503649,0.6643575754503649,0.6643575754503649,0.0
