DataSet,k,k_inicial_melhor,k_candidates,k_scores_medios_clonalg,n_antibodies,rho,beta,replace_rate,selection_rate,parametric_mutation_scale,diversity_weight,affinity_metric,runs,iterations,ClonalG_Media_Validacao,ClonalG_Melhor_Validacao,ClonalG_Pior_Validacao,ClonalG_DB_Medio_Validacao,ClonalG_DB_Melhor_Validacao,ClonalG_DB_Pior_Validacao,KMeans_Silhouette_mesmo_k,Delta_Validacao_vs_KMeans_mesmo_k,KMeans_DB_mesmo_k,Delta_DB_vs_KMeans_mesmo_k
1,3,2,"2,3,4,5,6",2->3:0.6480;3->3:0.6480;4->3:0.6480;5->3:0.6480;6->3:0.6480,30,2.0,15.0,0.3,0.3,0.05,0.15,davies_bouldin,3,50,0.6479626689290785,0.6479626689290785,0.6479626689290785,0.48374080688202253,0.48374080688202253,0.48374080688202253,0.6479626689290785,0.0,0.4837408068820226,-5.551115123125783e-17
2,2,2,"2,3,4,5,6",2->2:0.6380;3->2:0.5421;4->2:0.5510;5->2:0.5591;6->2:0.4390,30,2.0,15.0,0.3,0.3,0.05,0.15,davies_bouldin,3,50,0.6380100688434424,0.6538977530509176,0.6158135544625102,0.4655410054971118,0.3938580078057408,0.5454059362467791,0.35891206310876406,0.2790980057346783,1.1561844143771076,-0.6906434088799958
3,6,2,"2,3,4,5,6",2->6:0.1758;3->6:0.1464;4->6:0.1680;5->6:0.1729;6->6:0.1667,30,2.0,15.0,0.3,0.3,0.05,0.15,davies_bouldin,3,50,0.17576697215469073,0.18162865221250477,0.16910556625731946,1.2877393211720733,1.2449547921685697,1.3448964436274033,0.22206807318953195,-0.046301101034841224,1.25823215903327,0.029507162138803444
4,2,3,"2,3,4,5,6",2->2:0.4891;3->2:0.4905;4->4:0.5714;5->2:0.4920;6->4:0.5781,30,2.0,15.0,0.3,0.3,0.05,0.15,davies_bouldin,3,50,0.49054134969176005,0.5898349141504893,0.2949866967078738,0.5091889551310159,0.46657016708302496,0.5329096669977008,0.5145511657693747,-0.0240098160776146,0.5890783097945906,-0.07988935466357472
5,2,2,"2,3,4,5,6",2->2:0.6644;3->2:0.6644;4->2:0.6644;5->2:0.6644;6->2:0.6644,30,2.0,15.0,0.3,0.3,0.05,0.15,davies_bouldin,3,50,0.6643575754503649,0.6643575754503649,0.6643575754503649,0.50463229818083,0.50463229818083,0.50463229818083,0.6643575754503649,0.0,0.50463229818083,0.0
