DataSet,k,k_inicial_melhor,k_candidates,k_scores_medios_clonalg,n_antibodies,rho,beta,replace_rate,selection_rate,runs,iterations,ClonalG_Media_Validacao,ClonalG_Melhor_Validacao,ClonalG_Pior_Validacao,KMeans_Silhouette_mesmo_k,Delta_Validacao_vs_KMeans_mesmo_k
1,3,3,"2,3,4,5,6",2->3:0.6473;3->3:0.6480;4->3:0.6480;5->3:0.6480;6->3:0.6473,15,2.0,5.0,0.3,0.5,3,50,0.6479626689290785,0.6479626689290785,0.6479626689290785,0.6479626689290785,0.0
2,2,5,"2,3,4,5,6",2->2:0.4838;3->2:0.4622;4->2:0.4610;5->2:0.5462;6->2:0.4397,15,2.0,5.0,0.3,0.5,3,50,0.5461618515087744,0.6158135544625102,0.406858445601303,0.35891206310876406,0.18724978840001033
3,5,3,"2,3,4,5,6",2->4:0.1950;3->5:0.1995;4->4:0.1891;5->6:0.1925;6->5:0.1948,15,2.0,5.0,0.3,0.5,3,50,0.19949310232253495,0.2077919389142666,0.19091375616177467,0.22201950837163575,-0.022526406049100806
4,4,3,"2,3,4,5,6",2->4:0.5720;3->4:0.5865;4->4:0.5841;5->4:0.5859;6->4:0.5684,15,2.0,5.0,0.3,0.5,3,50,0.586521574149535,0.5904452094532344,0.579032517736098,0.5865799782279477,-5.840407841273265e-05
5,2,2,"2,3,4,5,6",2->2:0.6644;3->2:0.6644;4->2:0.6644;5->2:0.6644;6->2:0.6644,15,2.0,5.0,0.3,0.5,3,50,0.6643575754503649,0.6643575754503649,0.6643575754503649,0.6643575754503649,0.0
