DataSet,k,n_antibodies,rho,beta,replace_rate,selection_rate,parametric_mutation_scale,diversity_weight,ClonalG_media,ClonalG_melhor,KMeans,Delta_media
1,3,80,1.2,25.0,0.55,0.4,0.12,0.25,0.6479626689290785,0.6479626689290785,0.6479626689290785,0.0
2,2,80,1.2,25.0,0.55,0.4,0.12,0.25,0.6538977530509176,0.6538977530509176,0.35891206310876406,0.2949856899421535
3,6,80,1.2,25.0,0.55,0.4,0.12,0.25,0.2199398068534104,0.22123542410698221,0.22206807318953195,-0.002128266336121537
4,4,80,1.2,25.0,0.55,0.4,0.12,0.25,0.590540010127168,0.590540010127168,0.5865799782279477,0.003960031899220229
5,2,80,1.2,25.0,0.55,0.4,0.12,0.25,0.6643575754503649,0.6643575754503649,0.6643575754503649,0.0
